,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
128,C22-4-95.8c-F,1.0,Pederson,95.8,clumped,Matrix,Calcite,Matrix,93.3,2.3,-3.562145248790906,-2.9,1.5,1.6,3.0,3.2,2.9,3.2,0.5963,0.0234,,0.0459,24.2,7.6,8.2,14.6,17.1,14.3,16.7,,,,,,,n,0.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",29.45,349.69521739130425
129,C22-4-96_75,1.0,Pederson,96.75,clumped,Bulk,Calcite,Bulk,92.7,3.7,-3.4554444378647435,-2.8,1.5,1.6,3.0,3.2,2.9,3.1,0.5967,0.0232,,0.0456,24.0,7.5,8.1,14.4,16.9,14.2,16.6,,,53662.85714,199.93625,38.78,16.81,n,0.9100479985873178,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.9,349.7179347826086
130,C22-4-97.4c-A,2.0,Pederson,97.4,clumped,Cement,Calcite,Cement,100.0,-5.19,-10.798400244328873,-6.1,1.2,1.3,2.5,2.6,2.4,2.5,0.5376,0.0177,0.0119,0.0347,46.1,7.1,7.6,13.8,15.8,13.5,15.5,,,,,,,n,1.7156647949072288,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",71.3,349.7334782608695
131,BW-256_6-A,1.0,BW,256.6,nonclumped,Crinoid,Calcite,Bulk,,5.3,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,n,4.348170392291949,"(0.8352941176470589, 0.3686274509803922, 0.0)",21.17,353.5404347826087
132,BW-256_6-B,1.0,BW,256.6,nonclumped,Matrix,Calcite,Bulk,,4.66,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,n,4.348170392291949,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",28.06,353.5404347826087
133,BW-255_4-A,1.0,BW,255.4,nonclumped,Crinoid,Calcite,Bulk,,5.62,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,n,2.930189074234856,"(0.8352941176470589, 0.3686274509803922, 0.0)",16.94,353.5117391304348
134,BW-255_4-B,1.0,BW,255.4,nonclumped,Matrix,Calcite,Bulk,,4.67,-4.04,,,,,,,,,,,,,,,,,,,,,,,,,n,2.930189074234856,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",31.92,353.5117391304348
135,BW-254_9-A,1.0,BW,254.9,nonclumped,Crinoid,Calcite,Bulk,,5.26,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,y,2.189711313529096,"(0.8352941176470589, 0.3686274509803922, 0.0)",28.06,353.4997826086957
136,BW-254_9-B,1.0,BW,254.9,nonclumped,Matrix,Calcite,Bulk,,4.44,-4.82,,,,,,,,,,,,,,,,,,,,,,,,,y,2.189711313529096,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",36.05,353.4997826086957
137,BW-253-A,1.0,BW,253.0,nonclumped,Crinoid,Calcite,Bulk,,5.98,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,y,4.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",17.55,353.454347826087
138,BW-253-B,1.0,BW,253.0,nonclumped,Matrix,Calcite,Bulk,,6.06,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,y,4.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",19.49,353.454347826087
139,BW-233_2-A,1.0,BW,233.2,nonclumped,Crinoid,Calcite,Bulk,,5.28,-3.33,,,,,,,,,,,,,,,,,,,,,,,,,y,4.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",28.26,352.9808695652174
140,BW-241_5-A,1.0,BW,241.5,nonclumped,Crinoid,Calcite,Bulk,,6.49,-2.07,,,,,,,,,,,,,,,,,,,,,,,,,y,3.0373695584014215,"(0.8352941176470589, 0.3686274509803922, 0.0)",21.99,353.17934782608694
141,BW-241_5-B,1.0,BW,241.5,nonclumped,Matrix,Calcite,Bulk,,4.84,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,y,3.0373695584014215,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",24.45,353.17934782608694
142,BW-209_9-A,1.0,BW,209.9,nonclumped,Rugose,Calcite,Bulk,,2.98,-3.6,,,,,,,,,,,,,,,,,,,,,,,,,y,5.120779812651241,"(0.00784313725490196, 0.6196078431372549, 0.45098039215686275)",29.64,352.4236956521739
143,BW-209_9-B,1.0,BW,209.9,nonclumped,Rugose,Calcite,Bulk,,3.71,-4.66,,,,,,,,,,,,,,,,,,,,,,,,,y,5.120779812651241,"(0.00784313725490196, 0.6196078431372549, 0.45098039215686275)",35.19,352.4236956521739
144,BW-209_9-C,1.0,BW,209.9,nonclumped,Matrix,Calcite,Bulk,,3.8,-4.94,,,,,,,,,,,,,,,,,,,,,,,,,y,5.120779812651241,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",36.69,352.4236956521739
145,BW-209_9-D,1.0,BW,209.9,nonclumped,Matrix,Calcite,Bulk,,3.93,-4.91,,,,,,,,,,,,,,,,,,,,,,,,,y,5.120779812651241,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",36.53,352.4236956521739
146,C22-4-137,1.0,Pederson,137.0,nonclumped,Bulk,Calcite,Bulk,,3.99,-3.44,,,,,,,,,,,,,,,,,,,,,,,,,y,5.345147834774166,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.82,350.68043478260864
147,C22-4-141,1.0,Pederson,141.0,nonclumped,Bulk,Calcite,Bulk,,3.23,-4.25,,,,,,,,,,,,,,,,,,,,,,,,,y,11.855961419991026,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",33.02,350.7760869565217
148,C22-4-118_75,1.0,Pederson,118.75,nonclumped,Bulk,Calcite,Bulk,,3.43,-3.27,,,,,,,,,,,,,,,,,,,,,,,,,y,14.658044549060763,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.96,350.2440217391304
149,C22-4-142,1.0,Pederson,142.0,nonclumped,Bulk,Calcite,Bulk,,3.32,-4.33,,,,,,,,,,,,,,,,,,,,,,,,,y,14.819163649995572,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",33.44,350.79999999999995
150,C22-4-129,1.0,Pederson,129.0,nonclumped,Bulk,Calcite,Bulk,,4.48,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,y,2.3861487642489743,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",24.69,350.48913043478257
151,C22-4-149,1.0,Pederson,149.0,nonclumped,Bulk,Calcite,Bulk,,2.31,-5.07,,,,,,,,,,,,,,,,,,,,,,,,,n,19.932429087409556,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",37.39,350.96739130434776
152,C22-4-133,1.0,Pederson,133.0,nonclumped,Bulk,Calcite,Bulk,,3.83,-3.83,,,,,,,,,,,,,,,,,,,,,,,,,y,5.854954556566764,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.83,350.5847826086956
153,C22-4-139,1.0,Pederson,139.0,nonclumped,Bulk,Calcite,Bulk,,2.9,-4.27,,,,,,,,,,,,,,,,,,,,,,,,,y,7.165853782764646,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",33.13,350.7282608695652
154,C22-4-113_75,1.0,Pederson,113.75,nonclumped,Bulk,Calcite,Bulk,,3.76,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,y,8.615828344037034,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.6,350.1244565217391
155,C22-4-124,1.0,Pederson,124.0,nonclumped,Bulk,Calcite,Bulk,,3.28,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,y,13.53208475705605,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.62,350.36956521739125
156,C22-4-115_75,1.0,Pederson,115.75,nonclumped,Bulk,Calcite,Bulk,,3.6,-3.28,,,,,,,,,,,,,,,,,,,,,,,,,n,11.090469908617983,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.01,350.1722826086956
157,C22-4-123,1.0,Pederson,123.0,nonclumped,Bulk,Calcite,Bulk,,3.25,-3.52,,,,,,,,,,,,,,,,,,,,,,,,,n,14.602223533594676,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",29.23,350.345652173913
158,C22-4-138,1.0,Pederson,138.0,nonclumped,Bulk,Calcite,Bulk,,3.63,-3.75,,,,,,,,,,,,,,,,,,,,,,,,,y,4.8262159146926225,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.42,350.7043478260869
159,C22-4-121_75,1.0,Pederson,121.75,nonclumped,Bulk,Calcite,Bulk,,4.67,-2.03,,,,,,,,,,,,,,,,,,,,,,,,,n,15.378741703897333,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",21.8,350.31576086956517
160,C22-4-114_75,1.0,Pederson,114.75,nonclumped,Bulk,Calcite,Bulk,,4.04,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,y,9.778513546006504,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",29.13,350.1483695652173
161,C22-4-150,1.0,Pederson,150.0,nonclumped,Bulk,Calcite,Bulk,,2.12,-5.12,,,,,,,,,,,,,,,,,,,,,,,,,n,14.163562505643831,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",37.66,350.99130434782603
162,C22-4-147,1.0,Pederson,147.0,nonclumped,Bulk,Calcite,Bulk,,2.3,-4.87,,,,,,,,,,,,,,,,,,,,,,,,,n,28.976266768730817,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",36.31,350.91956521739127
163,C22-4-130,1.0,Pederson,130.0,nonclumped,Bulk,Calcite,Bulk,,3.35,-3.94,,,,,,,,,,,,,,,,,,,,,,,,,y,-0.028401995703894567,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.4,350.51304347826084
164,C22-4-126,1.0,Pederson,126.0,nonclumped,Bulk,Calcite,Bulk,,3.75,-2.78,,,,,,,,,,,,,,,,,,,,,,,,,y,10.210720014850992,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",25.49,350.41739130434775
165,C22-4-117_75,1.0,Pederson,117.75,nonclumped,Bulk,Calcite,Bulk,,3.56,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,y,13.656627551269482,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",24.35,350.22010869565213
166,C22-4-121,1.0,Pederson,121.0,nonclumped,Bulk,Calcite,Bulk,,3.37,-3.35,,,,,,,,,,,,,,,,,,,,,,,,,y,15.542518414105153,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",28.36,350.2978260869565
167,C22-4-134,1.0,Pederson,134.0,nonclumped,Bulk,Calcite,Bulk,,3.77,-3.86,,,,,,,,,,,,,,,,,,,,,,,,,y,11.73372180131368,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.99,350.6086956521739
168,C22-4-146,1.0,Pederson,146.0,nonclumped,Bulk,Calcite,Bulk,,2.51,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,y,30.896099834274064,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",33.28,350.895652173913
169,C22-4-131,1.0,Pederson,131.0,nonclumped,Bulk,Calcite,Bulk,,3.99,-3.21,,,,,,,,,,,,,,,,,,,,,,,,,y,-0.8934541128592608,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.65,350.53695652173906
170,C22-4-122,1.0,Pederson,122.0,nonclumped,Bulk,Calcite,Bulk,,3.34,-3.79,,,,,,,,,,,,,,,,,,,,,,,,,n,15.27363535932635,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",30.62,350.3217391304347
171,C22-4-143,1.0,Pederson,143.0,nonclumped,Bulk,Calcite,Bulk,,2.46,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,y,20.30726425692539,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",35.4,350.8239130434782
172,C22-4-119_75,1.0,Pederson,119.75,nonclumped,Bulk,Calcite,Bulk,,3.27,-3.06,,,,,,,,,,,,,,,,,,,,,,,,,y,15.306774313047637,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",26.89,350.2679347826086
173,C22-4-135,1.0,Pederson,135.0,nonclumped,Bulk,Calcite,Bulk,,4.01,-3.16,,,,,,,,,,,,,,,,,,,,,,,,,y,14.1213073630442,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",27.4,350.63260869565215
174,C22-4-145,1.0,Pederson,145.0,nonclumped,Bulk,Calcite,Bulk,,2.97,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,y,30.17778369373088,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.34,350.8717391304347
175,C22-4-127,1.0,Pederson,127.0,nonclumped,Bulk,Calcite,Bulk,,3.14,-3.58,,,,,,,,,,,,,,,,,,,,,,,,,y,7.962453582722811,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",29.54,350.441304347826
176,BW-263.5-C,1.0,BW,263.5,nonclumped,Brachiopod,Calcite,Bulk,,4.73,-3.19,,,,,,,,,,,,,,,,,,,,,,,,,y,7.0,"(0.8, 0.47058823529411764, 0.7372549019607844)",27.55,353.70543478260873
177,BW-262_3-A,1.0,BW,262.3,nonclumped,Crinoid,Calcite,Bulk,,6.09,-0.93,,,,,,,,,,,,,,,,,,,,,,,,,y,6.786107839439725,"(0.8352941176470589, 0.3686274509803922, 0.0)",16.56,353.6767391304348
178,BW-262_3-B,1.0,BW,262.3,nonclumped,Matrix,Calcite,Bulk,,4.3,-4.31,,,,,,,,,,,,,,,,,,,,,,,,,y,6.786107839439725,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",33.34,353.6767391304348
179,BW-255.4-C,1.0,BW,255.4,nonclumped,Matrix,Calcite,Bulk,,5.0,-3.58,,,,,,,,,,,,,,,,,,,,,,,,,n,2.930189074234856,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",29.54,353.5117391304348
180,BW-236_9-A,1.0,BW,236.9,nonclumped,Brachiopod,Calcite,Bulk,,5.91,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,n,5.914713736925723,"(0.8, 0.47058823529411764, 0.7372549019607844)",22.24,353.069347826087
181,BW-236_9-B,1.0,BW,236.9,nonclumped,Matrix,Calcite,Bulk,,6.23,-2.77,,,,,,,,,,,,,,,,,,,,,,,,,n,5.914713736925723,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",25.44,353.069347826087
182,BW-169_2-A,1.0,BW,169.2,nonclumped,Cement,Calcite,Bulk,,2.39,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,y,33.0,"(0.792156862745098, 0.5686274509803921, 0.3803921568627451)",22.28,351.4504347826087
