,Sample,N,Location,Strat_height_C22-4,Measurement,Type,Mineralogy,Category,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,Ca,Mg,Sr,Mn,altered,alt_spline,color,d18O_T_KON97_icefree,age_model_BW
42,BW-253.5-A,1.0,BW,253.5,clumped,Crinoid,Calcite,Fossil,113.9,5.98,-1.1565269660919606,0.6,1.7,1.6,3.2,3.4,3.2,3.3,0.5811,0.0244,,0.0479,29.4,8.3,9.0,15.9,18.9,15.7,18.5,,,,,,,y,0.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",17.62,353.4663043478261
43,BW-253.5-B,1.0,BW,253.5,clumped,Crinoid,Calcite,Fossil,96.6,6.14,-1.321428219341487,-1.6,1.6,1.7,3.1,3.3,3.0,3.3,0.6105,0.0245,,0.0481,19.5,7.6,8.2,14.5,17.1,14.3,16.8,,,,,,,y,0.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",18.4,353.4663043478261
44,BW-253.5-C,1.0,BW,253.5,clumped,Matrix,Calcite,Matrix,98.3,5.54,-1.7288313156050137,1.5,1.6,1.7,3.3,3.5,3.2,3.5,0.5587,0.0243,,0.0477,37.7,8.9,9.8,17.1,20.5,16.8,20.1,,,,,,,y,0.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",20.34,353.4663043478261
45,BW-254,3.0,BW,254.0,clumped,Bulk,Calcite,Bulk,90.7,4.49,-4.493352325964693,-1.8,0.9,1.0,1.9,2.0,1.8,2.0,0.5664,0.0141,0.0105,0.0277,34.8,5.1,5.4,10.0,11.1,9.8,10.9,,,60245.71428571428,108.47249999999998,30.105,5.032,y,0.6054439061865527,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.31,353.47826086956525
46,BW-262,10.0,BW,262.0,clumped,Bulk,Calcite,Bulk,95.5,4.42,-3.940448123892757,-0.5,0.6,0.5,1.1,1.1,1.1,1.0,0.5565,0.0078,0.0141,0.0153,38.5,3.0,3.1,5.9,6.2,5.8,6.1,0.2266,0.0302,54294.28571428572,96.63125,28.715000000000003,3.962,y,6.738299174604058,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.4,353.6695652173913
47,BW-263_5-A,3.0,BW,263.5,clumped,Crinoid,Calcite,Fossil,97.8,4.87,-2.204134927912469,0.9,1.1,1.1,2.1,2.2,2.1,2.2,0.5607,0.0158,0.0126,0.031,36.9,5.9,6.2,11.4,12.8,11.2,12.5,0.2001,0.045,,,,,y,7.0,"(0.8352941176470589, 0.3686274509803922, 0.0)",22.65,353.70543478260873
48,BW-263_5-B,1.0,BW,263.5,clumped,Matrix,Calcite,Matrix,104.0,4.33,-3.9695483450544393,0.1,1.8,1.8,3.5,3.6,3.4,3.6,0.5475,0.0251,,0.0492,42.1,9.6,10.6,18.4,22.3,18.0,21.8,0.1978,0.0718,,,,,y,7.0,"(0.8705882352941177, 0.5607843137254902, 0.0196078431372549)",31.55,353.70543478260873
49,BW-266,1.0,BW,266.0,clumped,Bulk,Calcite,Bulk,82.2,4.29,-3.882247681569394,1.9,1.7,1.9,3.4,3.8,3.4,3.7,0.5226,0.0246,,0.0483,52.5,10.4,11.4,19.8,24.2,19.4,23.7,,,48590.0,88.39875,22.095,4.015666666666667,n,7.742607592940737,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.1,353.76521739130436
50,BW-270,10.0,BW,270.0,clumped,Bulk,Calcite,Bulk,93.2,3.89,-3.940448123892757,-1.0,0.5,0.5,1.1,1.1,1.1,1.1,0.5631,0.0078,0.0168,0.0154,36.0,2.9,3.0,5.7,6.1,5.7,6.0,0.1549,0.0431,53758.57142857143,90.87975,24.36,4.546333333333333,n,9.706417578851715,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",31.4,353.8608695652174
51,BW-274,1.0,BW,274.0,clumped,Bulk,Calcite,Bulk,93.5,3.91,-4.503052399685251,0.8,1.8,1.8,3.4,3.7,3.4,3.6,0.5298,0.0246,,0.0483,49.4,10.1,11.1,19.2,23.4,18.9,23.0,,,54887.142857142855,130.3475,31.415,5.538,y,12.37150940476028,"(0.00392156862745098, 0.45098039215686275, 0.6980392156862745)",34.36,353.95652173913044
