Sample,d13C,d18O_carb,thickness,age,,Sample_p,d18O_p,thickness_p,age_p
LS61.6,2.6,-8.4,320.6,349.4,,,,,
LS62.2,2.8,-3.8,321.2,349.4,,,,,
LS69,3.5,-2.6,328,348.9,,,,,
LS71,3.4,-4.5,330,348.8,,,,,
LS71.5,2.9,-5.4,330.5,348.7,,,,,
LS73,3,-6.6,332,348.6,,,,,
LS73.5,3.7,-6.4,332.5,348.6,,,,,
LS76,3.3,-5.2,335,348.5,,,,,
LS77.3,3.2,-4.1,336.3,348.4,,,,,
LS78,3.7,-3.1,337,348.3,,,,,
LS78.6,3.2,-5.6,337.6,348.3,,,,,
LS80,2,-6.3,339,348.2,,,,,
LS81.6,3.7,-3.1,340.6,348.1,,,,,
LS81.9,3.8,-4.6,340.9,348.1,,,,,
LS82.6,3.1,-5.3,341.6,348,,,,,
LS84.6,2.5,-5.7,343.6,347.9,,,,,
LS86,2.7,-4.2,345,347.8,,,,,
LS89,4.1,-4.4,348,347.6,,,,,
LS89.9,4.4,-1.8,348.9,347.5,,,,,
LS92,4.5,-2,351,347.4,,,,,
LS94,3.8,-2.7,353,347.3,,,,,
LS95,4.2,-2.3,354,347.2,,,,,
LS96.2,3.5,-5.3,355.2,347.1,,,,,
LS97.3,3.8,-4.8,356.3,347,,,,,
LS98.5,2.9,-5.3,357.5,347,,,,,
LS100,2.6,-5.6,359,346.9,,,,,
LS101.5,2.7,-5.9,360.5,346.8,,,,,
LS102.5,3.8,-3.5,361.5,346.7,,,,,
MLB-a1,1.7,-7.3,-6,360.3,,,,,
MLB-a2,1.7,-7.6,-5.7,360.2,,,,,
MLB-a3,1.6,-7.9,-5,360.2,,,,,
MLB-a4,0.6,-7.6,-4.7,360.2,,,,,
MLB-a5,0.7,-8,-3.3,360.2,,,,,
MLB-a6,0.4,-7.7,-3,360.2,,,,,
MLB-a7,-0.6,-7.2,-2.9,360.2,,,,,
MLB-a11,2.8,-7.8,0.1,360.1,,,,,
MLB-a12,2.3,-8.4,0.3,360.1,,,,,
MLB-a13,2.2,-8,0.6,360.1,,,,,
MLB-a14,2.4,-8,1.5,360,,,,,
MLB-a15,1.8,-6.7,1.8,360,,,,,
MLB-a16,2.7,-7.7,3.7,360,,,,,
MLB-a17,3,-7.3,4,360,,,,,
MLB-a18,3,-9,5.6,359.9,,,,,
MLB-a19,3,-9.5,6.2,359.9,,,,,
MLB-a20,2.5,-7.4,6.8,359.9,,,,,
MLB-a21,3.2,-7.2,7.9,359.9,,,,,
MLB-a22,2.8,-7.9,8.2,359.9,,,,,
MLB-a23,3,-6.7,8.9,359.8,,,,,
MLB-a24,3.3,-7.4,9.3,359.8,,,,,
MLB-a25,2,-7.1,9.9,359.8,,,,,
MLB-a26,2.7,-6.8,10.9,359.8,,,,,
MLB-a27,2.6,-6.1,11.8,359.7,,,,,
MLB-a28,2.4,-6.5,13.4,359.7,,,,,
MLB-a29,2.4,-6,13.7,359.7,,,,,
MLB-a31,2.7,-7.2,15,359.7,,,,,
MLB-a32,2.2,-7.3,15.2,359.6,,,,,
MLB-a33,2.1,-7.3,16.1,359.6,,,,,
MLB-a34,2.2,-6.8,16.9,359.6,,,,,
MLB-a35,2.3,-7.2,17,359.6,,,,,
MLB-a36,2,-7.5,17.3,359.6,,,,,
MLB-a37,0.5,-6.6,21.3,359.5,,,,,
MLB-a38,0.6,-6.5,22.6,359.4,,,,,
MLB-a39,0.8,-6.1,23.7,359.4,,,,,
MLB-a40,-1.1,-12.5,25.3,359.4,,,,,
MLB-a41,0.6,-6.2,27.4,359.3,,,,,
MLB-a42,-0.1,-6.8,28.3,359.1,,,,,
MLB-a43,0.5,-5.5,29.4,358.8,,,,,
MLB-a45,0.3,-5.9,33.3,357.8,,,,,
MLB-a46,0.2,-7.4,33.4,357.8,,,,,
MLB-a48,0.3,-6.5,34.3,357.6,,,,,
MLB-a50,1.3,-5.8,35.6,357.2,,,,,
MLB-a51,1.5,-6,37.2,356.8,,,,,
MLB-a52,1.1,-5.8,38.3,356.5,,,,,
MLB-a53,1.1,-5.7,39,356.3,,,,,
MLB-a54,1,-5.8,39.7,356.2,,,,,
MLB-a56,1.5,-5.7,41.3,355.8,,,,,
MLB-a57,0.8,-5.5,41.9,355.6,,,,,
MLB-a58,1.3,-5.9,42.3,355.5,,,,,
MLB-a59,0.5,-5.9,43.3,355.3,,,,,
MLB-a60,0.7,-6.1,43.6,355.2,,,,,
MLB-a61,-0.5,-6,44.3,355.1,,,,,
MLB-a62,0.2,-5.7,45.2,355.1,,,,,
MLB-a63,-1.4,-5.7,45.8,355,,,,,
MLB-a68,0,-5.6,50.9,354.8,,,,,
MLB-a69,0.1,-5.4,53,354.7,,,,,
MLB-a70,-0.7,-5.7,54.5,354.7,,,,,
MLB-a71,0.2,-5.8,55.5,354.6,,,,,
MLB-a72,-0.1,-5.8,56.3,354.6,,,,,
MLB-a73,-0.4,-5.8,56.8,354.6,,,,,
MLB-a74,0,-5.3,57.3,354.6,,,,,
